,title
92,雖然每個人都有幸福的權利，但發現自己才是被拋下的那個一定很傷心又難過....看了好心疼兒子，太揪心了（牛五花）【追星消息都在星光雲APPhttps://goo.gl/DxAfcG】Son…… 顯示更多
93,阿東雖然造型很呆但顏值依舊在線（羊羹）
94,皮克斯的動畫真的好可愛～～很容易讓人會心一笑欸！！而且這看來是一個水與火的故事好期待上映（牛五花）最新電影資訊  快下載星光雲App：https://goo.gl/DxAfcG迪…… 顯示更多
95,各種神韻～還有體態～Elizabeth Debicki真的是看到現在最像黛妃的演員了！（牛五花）不看電影會死  都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
96,小時候最愛的一部電影...希望導演一路好走（甩妮）【更多新聞都在星光雲APP→ https://goo.gl/DxAfcG】#…… 顯示更多
97,013～～～（喊）且每次拍完都會給演員們一個大大的擁抱小鎂私底下好可愛也好暖！（牛五花）不看電影會死  都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
98,第一次挑戰主持紅毯的工作那壓力有多大肯定不是我們能想像得到的（甩妮）【追蹤星光雲IG看更多即時娛樂新聞 https://reurl.cc/VXGMrY 】吳念…… 顯示更多
99,我只能說～真的是辛苦毛利小五郎的脖子了XDD他的血液裡應該有不少麻醉藥(?)（甩妮）星事你最懂★快下載星光雲App →https://goo.gl/DxAfcG
100,幸福的女人就是連小細節都要放閃！！！看看我們 #珍妮佛羅培茲 脖子上的項鍊寫著什麼？？？是「Jennifer&Ben」啊！！！！！（羊羹） 更多歐美明星消息都在星光雲App：…… 顯示更多
101,"「想要成為公主，首先你必須先相信自己是個公主。」這句先筆記下來呀姐妹們(´▽`ʃ♡ƪ)""（甩妮）不看電影會死  都在星光雲App：https://goo.gl/DxAfcG"
102,有被可元這套美到！看起來自信又美麗餒（阿迪仔）星光雲也有IG喔！妳/你追了嗎？https://www.instagram.com/starettoday/王…… 顯示更多
103,登愣！各位有迷有很熟悉！！！沒有錯～就是我們 #莉莉柯林斯 小時候真的是小美女一枚，長大後又更仙了！12月底《艾蜜莉在巴黎》第三季就要上映啦大家又可以和艾蜜莉相見了（小短腿）…… 顯示更多
104,期待超久的《曼哈頓奇緣2：幸福真諦》終於上映了！這邊帶大家來回顧15年前的經典第一集我們 #艾美亞當斯 穿上禮服真的超仙不覺得嗎(*´▽`*)吉賽兒這個角色根本是為她而生的啊（小短腿）…… 顯示更多
105,《閃舞》和《名揚四海》都是出自她手！小編也很有印象！艾琳一路好走R.I.P（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】#…… 顯示更多
106,好愛今年的劇場版電影！不只過程緊湊刺激還有警校五人組的往日故事喜歡到可以重刷好幾次的那種(*´∇｀)ﾉ（珊迪）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG…… 顯示更多
107,講到南韓一哥～～～大家應該都知道是哪一位吧！！！！（羊羹）星光雲App掌握明星大小事：https://goo.gl/DxAfcG
108,同事問我為什麼上班一直傻笑...只好把這影片傳給他你各位來看看！自體發光的加菲又來啦(*´∇｀)ﾉ穿上黑西裝，隨意地漫步走動都帥到不行怎麼可以這樣偷走我的心啦>///<（珊迪）…… 顯示更多
109,Netflix影集《#戀愛修課》Heartstopper 的兩位主角#喬洛克 和 #基特康納 一起登上GQ雜誌封面空氣瞬間瀰漫著甜甜的味道（羊羹）更多影集資訊都在星光雲APP：https://goo.gl/DxAfcG
110,才剛到中情局上班不久，就收到可怕的恐嚇信生活也被搞得天翻地覆，真的太為難菜鳥 #諾亞森迪尼奧 惹！究竟最後他能不能順利完成任務呢（珊迪）【更多影集資訊都在星光雲APP：https://goo.gl/DxAfcG】…… 顯示更多
111,這次 #鄭敬淏 不是胸腔外科，而是整形醫生XD這次馬可愛不打擊犯罪，改出一張嘴（威！光看預告感覺就好荒謬，這反差萌太可愛啦（珊迪）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG…… 顯示更多
112,才剛爆紅就被爆出這樣的事情工作都被取消了實在損失慘重啊QAQ（小短腿）【更多影集資訊都在星光雲APP：https://goo.gl/DxAfcG】
113,感覺來了淚也止不住了女神不哭不哭眼淚是珍珠，你真的很棒！！（小短腿）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG#…… 顯示更多
114,偶等待了15年的《曼哈頓奇緣2》上映啦～童年的回憶我還不看爆！！！我們女主角 #艾美亞當斯 身材依舊火辣完全看不出歲月的痕跡，保養得也太好了吧！（小短腿）…… 顯示更多
115,安雅那個側邊＞///＜這根本就是仙女降落吧（甩妮）更多歐美娛樂星聞都在星光雲APP →https://goo.gl/DxAfcG
116,看到熟悉的角色們回歸就是感動啊！！！導演 #詹姆斯卡麥隆 真的不斷再挑戰自我（小短腿）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG2…… 顯示更多
117,當時大家聽到消失都嚇死了QAQ我們哥實在是對電影熱情的拚命三郎但也要好好吃飯休息啦（小短腿）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG
118,從小說改編到日劇，現在電影又要上映了！期待生長過程中，性向認同是大家必走過的路但喜歡BL的女主，喜歡的卻不是身為同志的他這類題材好新穎！這樣的組合真的沒想過餒～（阿迪仔）…… 顯示更多
119,不可能鬼鬼最近都在親別人吧XDDDD只是喬喬的表情好像沒有幾天前炎P那麼享受耶！！！！應該還是老公的嘴比較好親啦～～～（羊羹）【鬼鬼看AV偏好日本片「歐美太粗魯」　嘴對嘴甜吻夏于喬：唇好軟】…… 顯示更多
120,湯唯在《分手的決心》真的演超好實至名歸啊！！！！！（羊羹）娛樂最快訊 都在星光雲App：https://goo.gl/DxAf
121,帥帥帥！只有一個字可以形容#車銀優、#李鍾碩、#金來沅 男神大對決！這陣容我還不看爆～大家記得電影院集合啊（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】G…… 顯示更多
122,導演很有看人的眼光！恭喜朴贊郁以《分手的決心》奪下導演獎！（羊羹）星光雲App掌握明星大小事：https://goo.gl/DxAfcG
123,《機密同盟2》就有兩位獲得這個獎項啦！（羊羹）星光雲App掌握明星大小事：https://goo.gl/DxAfcG
